grade,unit,seq,title,author,genre,required,motif_l1,motif_l2_primary,motif_l2_secondary,motif_l3_question,notes
七下,第二单元,5,黄河颂,光未然,诗歌,精读,爱国,M12社会与责任,M05故乡与身份,自然象征如何成为民族认同？,L1爱国→L2个人与国家
七下,第二单元,6,老山界,陆定一,记叙文,精读,革命/艰辛,M03勇气与担当,M12社会与责任,苦难中的集体意志如何生成？,
七下,第二单元,7,谁是最可爱的人,魏巍,通讯,精读,英雄,M03勇气与担当,M12社会与责任,平凡战士的选择为何构成“可爱”？,
七下,第二单元,8,土地的誓言,端木蕻良,抒情散文,略读,思乡/家国,M05故乡与身份,M12社会与责任,对土地的爱如何上升为历史承诺？,
七下,第二单元,9,木兰诗,,乐府诗,精读,爱国/孝/勇敢,M03勇气与担当,M05故乡与身份,一个人能同时是女儿、战士和自己吗？,身份多重性的经典课例
七下,第三单元,10,阿长与《山海经》,鲁迅,散文,精读,人物,M10孤独与陪伴,M04爱与原谅,被忽视的人如何成为生命中的恩惠？,
七下,第三单元,11,老王,杨绛,散文,精读,善良,M10孤独与陪伴,M04爱与原谅,我们如何面对社会边缘者的善意？,愧怍是关系伦理的关键词
七下,第三单元,12,台阶,李森祥,小说,略读,父亲/尊严,M07家庭与代际,M08理想与追求,尊严的追求如何既成就又耗尽一个人？,
七下,第三单元,13,卖油翁,欧阳修,文言小说,精读,技艺,M08理想与追求,M09真实与虚假,熟能生巧如何消解傲慢？,
七下,第四单元,14,叶圣陶先生二三事,张中行,写人散文,精读,修养,M11文化与传统,M12社会与责任,日常细节如何体现人格完整？,
七下,第四单元,15,驿路梨花,彭荆风,小说,精读,助人,M12社会与责任,M04爱与原谅,善如何在陌生人之间传递？,
七下,第四单元,16,最苦与最乐,梁启超,议论文,略读,责任,M12社会与责任,M08理想与追求,责任为何既是最苦也是最乐？,责任母题的直接论述文本
七下,第四单元,17a,陋室铭,刘禹锡,文言,精读,志趣,M11文化与传统,M08理想与追求,物质简陋如何与精神自足并存？,短文两篇
七下,第四单元,17b,爱莲说,周敦颐,文言,精读,托物言志,M11文化与传统,M09真实与虚假,君子人格如何借物象得以表达？,
七下,第五单元,18,紫藤萝瀑布,宗璞,散文,精读,感悟,M06时间与成长,M01生态与风景,个体苦难如何在生命整体中被安放？,
七下,第五单元,19,一棵小桃树,贾平凹,散文,精读,成长,M06时间与成长,M08理想与追求,弱小生命的坚持如何映照自我？,
七下,第五单元,20a,假如生活欺骗了你,普希金,诗歌,略读,哲理,M06时间与成长,M04爱与原谅,人如何与暂时的不幸相处？,外国诗二首
七下,第五单元,20b,未选择的路,弗罗斯特,诗歌,略读,选择,M08理想与追求,M06时间与成长,选择为何总是伴随不可挽回的失去？,
七下,第五单元,21a,登幽州台歌,陈子昂,诗歌,精读,怀古,M06时间与成长,M10孤独与陪伴,个体如何在历史长河中安放孤独？,古代诗歌五首
七下,第五单元,21b,望岳,杜甫,诗歌,精读,志向,M08理想与追求,M01生态与风景,高山意象如何激发人格高度？,
七下,第五单元,21c,登飞来峰,王安石,诗歌,精读,哲理,M08理想与追求,M09真实与虚假,站位如何改变人所见的世界？,
七下,第五单元,21d,游山西村,陆游,诗歌,精读,乡村/哲理,M05故乡与身份,M08理想与追求,困境之后的转机如何被理解？,
七下,第五单元,21e,己亥杂诗（其五）,龚自珍,诗歌,精读,献身,M12社会与责任,M08理想与追求,落红意象如何转化为奉献伦理？,
七下,第六单元,22,伟大的悲剧,茨威格,传记文学,精读,探险/悲剧,M03勇气与担当,M06时间与成长,失败的探险为何仍可称为伟大？,勇气与人类尊严
七下,第六单元,23,太空一日,杨利伟,回忆录,精读,航天,M03勇气与担当,M08理想与追求,极限情境中的冷静从何而来？,
七下,第六单元,24,带上她的眼睛,刘慈欣,科幻小说,略读,科幻,M10孤独与陪伴,M08理想与追求,科技处境中的人如何保持凝视与连结？,
七下,第六单元,25,活板,沈括,文言说明文,精读,科技,M11文化与传统,M12社会与责任,古代技术文本如何进入文明理解？,
七下,名著导读,WB3,骆驼祥子,老舍,小说,名著,命运/社会,M12社会与责任,M08理想与追求,个人奋斗为何在社会结构中受挫？,
七下,名著导读,WB4,海底两万里,凡尔纳,小说,名著,探险,M02自由与规则,M01生态与风景,科学幻想如何拓展人对世界的边界？,
